1,Stone,2
2,Grass,-1
3,Dirt,1
4,Cobblestone,1
5,Wooden Plank,4
6,Sapling D B,1
7,Bedrock,-1
8,Water D,-1
9,Stationary water D,8
10,Lava D,-1
11,Stationary lava D,8
12,Sand,1
13,Gravel,1
14,Gold Ore,50
15,Iron Ore,50
16,Coal Ore,20
17,Wood D B,1
18,Leaves D B,2
19,Sponge,-1
20,Glass,-1
21,Lapis Lazuli Ore,-1
22,Lapis Lazuli Block,-1
23,Dispenser D,-1
24,Sandstone,-1
25,Note Block,-1
26,Bed D I,-1
27,Powered Rail D,-1
28,Detector Rail D,-1
29,Sticky Piston D,-1
30,Cobweb,-1
31,Tall Grass D,-1
32,Dead Shrubs,-1
33,Piston D,-1
34,Piston Extension D,-1
35,Wool D B,1
37,Dandelion,1
38,Rose,1
39,Brown Mushroom,1
40,Red Mushroom,1
41,Gold Block,-1
42,Iron Block,-1
43,Double Slabs D B,4
44,Slabs D B,2
45,Brick Block,5
46,TNT,100
47,Bookshelf,-1
48,Moss Stone,3
49,Obsidian,-1
50,Torch D,1
51,Fire D,-1
52,Monster Spawner,-1
53,Wooden Stairs D,-1
54,Chest,1
55,Redstone Wire D I,3
56,Diamond Ore,150
57,Diamond Block,-1
58,Crafting Table,1
59,Seeds D,-1
60,Farmland D,-1
61,Furnace D,1
62,Burning Furnace D,-1
63,Sign Post D I,5
64,Wooden Door D I,5
65,Ladders D,5
66,Rails D,-1
67,Cobblestone Stairs D,-1
68,Wall Sign D,-1
69,Lever D,-1
70,Stone Pressure Plate D,-1
71,Iron Door D I,-1
72,Wooden Pressure Plate D,-1
73,Redstone Ore,50
74,Glowing Redstone Ore,-1
75,"Redstone Torch (""off"" state) D",-1
76,"Redstone Torch (""on"" state) D",-1
77,Stone Button D,-1
78,Snow,-1
79,Ice,-1
80,Snow Block,-1
81,Cactus D,-1
82,Clay Block,-1
83,Sugar Cane D I,-1
84,Jukebox D,-1
85,Fence,-1
86,Pumpkin D,-1
87,Netherrack,-1
88,Soul Sand,-1
89,Glowstone Block,-1
90,Portal,-1
91,Jack-O-Lantern D,-1
92,Cake Block D,-1
93,"Redstone Repeater (""off"" state) D I",-1
94," Redstone Repeater (""on"" state) D I",-1
95,Locked Chest,-1
96,Trapdoor D,5
256,Iron Shovel,25
257,Iron Pickaxe,25
258,Iron Axe,25
259,Flint and Steel,-1
260,Red Apple,5
261,Bow,50
262,Arrow,2
263,Coal D,-1
264,Diamond,-1
265,Iron Ingot,-1
266,Gold Ingot,-1
267,Iron Sword,25
268,Wooden Sword,10
269,Wooden Shovel,10
270,Wooden Pickaxe,10
271,Wooden Axe,10
272,Stone Sword,15
273,Stone Shovel,15
274,Stone Pickaxe,15
275,Stone Axe,15
276,Diamond Sword,100
277,Diamond Shovel,100
278,Diamond Pickaxe,100
279,Diamond Axe,100
280,Stick,-1
281,Bowl,-1
282,Mushroom Soup,-1
283,Gold Sword,50
284,Gold Shovel,50
285,Gold Pickaxe,50
286,Gold Axe,50
287,String,4
288,Feather,4
289,Gunpowder,-1
290,Wooden Hoe,-1
291,Stone Hoe,-1
292,Iron Hoe,-1
293,Diamond Hoe,-1
294,Gold Hoe,-1
295,Seeds,-1
296,Wheat,-1
297,Bread,5
298,Leather Cap,5
299,Leather Tunic,5
300,Leather Pants,5
301,Leather Boots,5
302,Chain Helmet,-1
303,Chain Chestplate,-1
304,Chain Leggings,-1
305,Chain Boots,-1
306,Iron Helmet,15
307,Iron Chestplate,15
308,Iron Leggings,15
309,Iron Boots,15
310,Diamond Helmet,50
311,Diamond Chestplate,50
312,Diamond Leggings,50
313,Diamond Boots,50
314,Gold Helmet,25
315,Gold Chestplate,25
316,Gold Leggings,25
317,Gold Boots,25
318,Flint,-1
319,Raw Porkchop,2
320,Cooked Porkchop,4
321,Paintings,-1
322,Golden Apple,-1
323,Sign,-1
324,Wooden door,-1
325,Bucket,-1
326,Water bucket,-1
327,Lava bucket,-1
328,Minecart,-1
329,Saddle,-1
330,Iron door,-1
331,Redstone,15
332,Snowball,-1
333,Boat,-1
334,Leather,-1
335,Milk,-1
336,Clay Brick,-1
337,Clay,-1
338,Sugar Cane,-1
339,Paper,-1
340,Book,-1
341,Slimeball,50
342,Storage Minecart,-1
343,Powered Minecart,-1
344,Egg,-1
345,Compass,-1
346,Fishing Rod,-1
347,Clock,-1
348,Glowstone Dust,-1
349,Raw Fish,-1
350,Cooked Fish,-1
351,Dye D,-1
352,Bone,-1
353,Sugar,-1
354,Cake,-1
355,Bed,-1
356,Redstone Repeater,5
357,Cookie,-1
358,Map,-1
359,Shears,-1
2256,Gold Music Disc,-1
2257,Green Music Disc,-1
